# time      EVENT                DETAILS
---------------------------------------------
0.000   QUEUE_SETUP         Using DropTail (FIFO) Queue Discipline on bottleneck
1.100   TRACE_SETUP         Connected TcpSocketBase traces
1.130   NEW_ACK             Ack=2921
1.130   TX-DATA             Seq=4381 Size=1460
1.130   TX-DATA             Seq=5841 Size=1460
1.133   NEW_ACK             Ack=4381
1.133   TX-DATA             Seq=7301 Size=1460
1.133   TX-DATA             Seq=8761 Size=1460
1.175   NEW_ACK             Ack=5841
1.175   TX-DATA             Seq=10221 Size=1460
1.175   TX-DATA             Seq=11681 Size=1460
1.178   NEW_ACK             Ack=7301
1.178   TX-DATA             Seq=13141 Size=1460
1.178   TX-DATA             Seq=14601 Size=1460
1.180   NEW_ACK             Ack=8761
1.180   TX-DATA             Seq=16061 Size=1460
1.180   TX-DATA             Seq=17521 Size=1460
1.183   NEW_ACK             Ack=10221
1.183   TX-DATA             Seq=18981 Size=1460
1.183   TX-DATA             Seq=20441 Size=1460
1.220   NEW_ACK             Ack=11681
1.220   TX-DATA             Seq=21901 Size=1460
1.220   TX-DATA             Seq=23361 Size=1460
1.223   NEW_ACK             Ack=13141
1.223   TX-DATA             Seq=24821 Size=1460
1.223   TX-DATA             Seq=26281 Size=1460
1.225   NEW_ACK             Ack=14601
1.225   TX-DATA             Seq=27741 Size=1460
1.225   TX-DATA             Seq=29201 Size=1460
1.228   NEW_ACK             Ack=16061
1.228   TX-DATA             Seq=30661 Size=1460
1.228   TX-DATA             Seq=32121 Size=1460
1.230   NEW_ACK             Ack=17521
1.230   TX-DATA             Seq=33581 Size=1460
1.230   TX-DATA             Seq=35041 Size=1460
1.233   NEW_ACK             Ack=18981
1.233   TX-DATA             Seq=36501 Size=1460
1.233   TX-DATA             Seq=37961 Size=1460
1.235   NEW_ACK             Ack=20441
1.235   TX-DATA             Seq=39421 Size=1460
1.235   TX-DATA             Seq=40881 Size=1460
1.238   NEW_ACK             Ack=21901
1.238   TX-DATA             Seq=42341 Size=1460
1.238   TX-DATA             Seq=43801 Size=1460
1.265   NEW_ACK             Ack=23361
1.265   TX-DATA             Seq=45261 Size=1460
1.265   TX-DATA             Seq=46721 Size=1460
1.268   NEW_ACK             Ack=24821
1.268   TX-DATA             Seq=48181 Size=1460
1.268   TX-DATA             Seq=49641 Size=1460
1.270   NEW_ACK             Ack=26281
1.270   TX-DATA             Seq=51101 Size=1460
1.270   TX-DATA             Seq=52561 Size=1460
1.273   NEW_ACK             Ack=27741
1.273   TX-DATA             Seq=54021 Size=1460
1.273   TX-DATA             Seq=55481 Size=1460
1.275   NEW_ACK             Ack=29201
1.275   TX-DATA             Seq=56941 Size=1460
1.275   TX-DATA             Seq=58401 Size=1460
1.278   NEW_ACK             Ack=30661
1.278   TX-DATA             Seq=59861 Size=1460
1.278   TX-DATA             Seq=61321 Size=1460
1.280   NEW_ACK             Ack=32121
1.280   TX-DATA             Seq=62781 Size=1460
1.280   TX-DATA             Seq=64241 Size=1460
1.283   NEW_ACK             Ack=33581
1.283   TX-DATA             Seq=65701 Size=1460
1.283   TX-DATA             Seq=67161 Size=1460
1.285   NEW_ACK             Ack=35041
1.285   TX-DATA             Seq=68621 Size=1460
1.285   TX-DATA             Seq=70081 Size=1460
1.288   NEW_ACK             Ack=36501
1.288   TX-DATA             Seq=71541 Size=1460
1.288   TX-DATA             Seq=73001 Size=1460
1.290   NEW_ACK             Ack=37961
1.290   TX-DATA             Seq=74461 Size=1460
1.290   TX-DATA             Seq=75921 Size=1460
1.292   NEW_ACK             Ack=39421
1.292   TX-DATA             Seq=77381 Size=1460
1.292   TX-DATA             Seq=78841 Size=1460
1.295   NEW_ACK             Ack=40881
1.295   TX-DATA             Seq=80301 Size=1460
1.295   TX-DATA             Seq=81761 Size=1460
1.297   NEW_ACK             Ack=42341
1.297   TX-DATA             Seq=83221 Size=1460
1.297   TX-DATA             Seq=84681 Size=1460
1.300   NEW_ACK             Ack=43801
1.300   TX-DATA             Seq=86141 Size=1460
1.300   TX-DATA             Seq=87601 Size=1460
1.302   NEW_ACK             Ack=45261
1.302   TX-DATA             Seq=89061 Size=1460
1.302   TX-DATA             Seq=90521 Size=1460
1.310   NEW_ACK             Ack=46721
1.310   TX-DATA             Seq=91981 Size=1460
1.310   TX-DATA             Seq=93441 Size=1460
1.313   NEW_ACK             Ack=48181
1.313   TX-DATA             Seq=94901 Size=1460
1.313   TX-DATA             Seq=96361 Size=1460
1.315   NEW_ACK             Ack=49641
1.315   TX-DATA             Seq=97821 Size=1460
1.315   TX-DATA             Seq=99281 Size=1460
1.318   NEW_ACK             Ack=51101
1.318   TX-DATA             Seq=100741 Size=1460
1.318   TX-DATA             Seq=102201 Size=1460
1.320   NEW_ACK             Ack=52561
1.320   TX-DATA             Seq=103661 Size=1460
1.320   TX-DATA             Seq=105121 Size=1460
1.323   NEW_ACK             Ack=54021
1.323   TX-DATA             Seq=106581 Size=1460
1.323   TX-DATA             Seq=108041 Size=1460
1.325   NEW_ACK             Ack=55481
1.325   TX-DATA             Seq=109501 Size=1460
1.325   TX-DATA             Seq=110961 Size=1460
1.328   NEW_ACK             Ack=56941
1.328   TX-DATA             Seq=112421 Size=1460
1.328   TX-DATA             Seq=113881 Size=1460
1.330   NEW_ACK             Ack=58401
1.330   TX-DATA             Seq=115341 Size=1460
1.330   TX-DATA             Seq=116801 Size=1460
1.333   NEW_ACK             Ack=59861
1.333   TX-DATA             Seq=118261 Size=1460
1.333   TX-DATA             Seq=119721 Size=1460
1.335   NEW_ACK             Ack=61321
1.335   TX-DATA             Seq=121181 Size=1460
1.335   TX-DATA             Seq=122641 Size=1460
1.337   NEW_ACK             Ack=62781
1.337   TX-DATA             Seq=124101 Size=1460
1.337   TX-DATA             Seq=125561 Size=1460
1.340   NEW_ACK             Ack=64241
1.340   TX-DATA             Seq=127021 Size=1460
1.340   TX-DATA             Seq=128481 Size=1460
1.342   NEW_ACK             Ack=65701
1.342   TX-DATA             Seq=129941 Size=1460
1.342   TX-DATA             Seq=131401 Size=1460
1.345   NEW_ACK             Ack=67161
1.345   TX-DATA             Seq=132861 Size=1460
1.345   TX-DATA             Seq=134321 Size=1460
1.347   NEW_ACK             Ack=68621
1.347   TX-DATA             Seq=135781 Size=1460
1.347   TX-DATA             Seq=137241 Size=1460
1.350   NEW_ACK             Ack=70081
1.350   TX-DATA             Seq=138701 Size=1460
1.350   TX-DATA             Seq=140161 Size=1460
1.352   NEW_ACK             Ack=71541
1.352   TX-DATA             Seq=141621 Size=1460
1.352   TX-DATA             Seq=143081 Size=1460
1.355   NEW_ACK             Ack=73001
1.355   TX-DATA             Seq=144541 Size=1460
1.355   TX-DATA             Seq=146001 Size=1460
1.357   NEW_ACK             Ack=74461
1.357   TX-DATA             Seq=147461 Size=1460
1.357   TX-DATA             Seq=148921 Size=1460
1.360   NEW_ACK             Ack=75921
1.360   TX-DATA             Seq=150381 Size=1460
1.360   TX-DATA             Seq=151841 Size=1460
1.362   NEW_ACK             Ack=77381
1.362   TX-DATA             Seq=153301 Size=1460
1.362   TX-DATA             Seq=154761 Size=1460
1.365   NEW_ACK             Ack=78841
1.365   TX-DATA             Seq=156221 Size=1460
1.365   TX-DATA             Seq=157681 Size=1460
1.367   NEW_ACK             Ack=80301
1.367   TX-DATA             Seq=159141 Size=1460
1.367   TX-DATA             Seq=160601 Size=1460
1.369   NEW_ACK             Ack=81761
1.369   TX-DATA             Seq=162061 Size=1460
1.369   TX-DATA             Seq=163521 Size=1460
1.374   DUP_ACK             Ack=81761 dupCount=1
1.374   TX-DATA             Seq=164981 Size=1460
1.377   DUP_ACK             Ack=81761 dupCount=2
1.377   TX-DATA             Seq=166441 Size=1460
1.379   DUP_ACK             Ack=81761 dupCount=3
1.379   TRIPLE_DUP_ACK      Detected 3 duplicate ACKs -> Fast Retransmit
1.379   STATE_CHANGE        SlowStart -> FastRecovery [Reason: Triple Duplicate ACKs (Fast Retransmit)]
1.379   UPDATE              ssthresh=41610
1.379   SSTHRESH_UPDATE     old=4294967295 new=56940 [Cause: Triple Duplicate ACK]
1.379   TX-DATA             Seq=81761 Size=1460
1.382   DUP_ACK             Ack=81761 dupCount=4
1.382   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.382   TX-DATA             Seq=84681 Size=1460
1.384   DUP_ACK             Ack=81761 dupCount=5
1.384   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.384   TX-DATA             Seq=87601 Size=1460
1.384   TX-DATA             Seq=167901 Size=1460
1.387   DUP_ACK             Ack=81761 dupCount=6
1.387   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.387   TX-DATA             Seq=90521 Size=1460
1.389   DUP_ACK             Ack=81761 dupCount=7
1.389   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.389   TX-DATA             Seq=169361 Size=1460
1.389   TX-DATA             Seq=170821 Size=1460
1.392   DUP_ACK             Ack=81761 dupCount=8
1.392   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.392   TX-DATA             Seq=172281 Size=1460
1.394   DUP_ACK             Ack=81761 dupCount=9
1.394   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.394   TX-DATA             Seq=173741 Size=1460
1.396   DUP_ACK             Ack=81761 dupCount=10
1.396   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.396   TX-DATA             Seq=175201 Size=1460
1.396   TX-DATA             Seq=176661 Size=1460
1.399   DUP_ACK             Ack=81761 dupCount=11
1.399   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.399   TX-DATA             Seq=99281 Size=1460
1.401   DUP_ACK             Ack=81761 dupCount=12
1.401   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.401   TX-DATA             Seq=102201 Size=1460
1.401   TX-DATA             Seq=178121 Size=1460
1.404   DUP_ACK             Ack=81761 dupCount=13
1.404   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.404   TX-DATA             Seq=105121 Size=1460
1.409   DUP_ACK             Ack=81761 dupCount=14
1.409   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.409   TX-DATA             Seq=108041 Size=1460
1.409   TX-DATA             Seq=179581 Size=1460
1.411   DUP_ACK             Ack=81761 dupCount=15
1.411   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.411   TX-DATA             Seq=110961 Size=1460
1.414   DUP_ACK             Ack=81761 dupCount=16
1.414   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.414   TX-DATA             Seq=113881 Size=1460
1.416   DUP_ACK             Ack=81761 dupCount=17
1.416   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.416   TX-DATA             Seq=115341 Size=1460
1.416   TX-DATA             Seq=116801 Size=1460
1.419   DUP_ACK             Ack=81761 dupCount=18
1.419   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.419   TX-DATA             Seq=119721 Size=1460
1.421   DUP_ACK             Ack=81761 dupCount=19
1.421   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.421   TX-DATA             Seq=122641 Size=1460
1.421   TX-DATA             Seq=125561 Size=1460
1.423   DUP_ACK             Ack=81761 dupCount=20
1.423   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.423   TX-DATA             Seq=128481 Size=1460
1.426   DUP_ACK             Ack=81761 dupCount=21
1.426   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.426   TX-DATA             Seq=131401 Size=1460
1.428   DUP_ACK             Ack=81761 dupCount=22
1.428   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.428   TX-DATA             Seq=134321 Size=1460
1.428   TX-DATA             Seq=181041 Size=1460
1.431   DUP_ACK             Ack=81761 dupCount=23
1.431   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.431   TX-DATA             Seq=137241 Size=1460
1.433   DUP_ACK             Ack=81761 dupCount=24
1.433   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.433   TX-DATA             Seq=140161 Size=1460
1.433   TX-DATA             Seq=182501 Size=1460
1.436   DUP_ACK             Ack=81761 dupCount=25
1.436   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.436   TX-DATA             Seq=143081 Size=1460
1.438   DUP_ACK             Ack=81761 dupCount=26
1.438   FAST_RECOVERY_DUP   Still in Fast Recovery, Ack=81761
1.438   TX-DATA             Seq=146001 Size=1460
1.438   TX-DATA             Seq=183961 Size=1460
